Match Number,Round Number,Date,Location,Home Team,Away Team,Result
103,18,08/02/2025 08:35,Allianz Stadium,Sydney,Western Sydney Wanderers,
104,18,09/02/2025 06:00,Campbelltown Sports Stadium,Macarthur,Western United,
105,19,14/02/2025 08:35,AAMI Park,Melbourne Victory,Wellington Phoenix,
106,19,15/02/2025 06:00,AAMI Park,Melbourne City,Perth Glory,
107,19,15/02/2025 07:00,Ironbark Fields,Western United,Auckland,
108,19,15/02/2025 08:35,Coopers Stadium,Adelaide United,Newcastle Jets,
109,19,16/02/2025 06:00,CommBank Stadium,Western Sydney Wanderers,Macarthur,
110,20,21/02/2025 08:35,McDonald Jones Stadium,Newcastle Jets,Brisbane Roar,
111,20,22/02/2025 04:00,Go Media Stadium,Auckland,Wellington Phoenix,
112,20,22/02/2025 06:00,Industree Group Stadium,Central Coast Mariners,Western Sydney Wanderers,
113,20,22/02/2025 08:35,AAMI Park,Melbourne Victory,Melbourne City,
114,20,22/02/2025 10:45,HBF Park,Perth Glory,Sydney,
115,20,23/02/2025 06:00,Ironbark Fields,Western United,Adelaide United,
116,21,28/02/2025 06:30,Sky Stadium,Wellington Phoenix,Melbourne City,
117,21,28/02/2025 08:35,Industree Group Stadium,Central Coast Mariners,Western United,
118,21,01/03/2025 04:00,Go Media Stadium,Auckland,Adelaide United,
119,21,01/03/2025 06:00,Suncorp Stadium,Brisbane Roar,Melbourne Victory,
120,21,01/03/2025 08:35,Campbelltown Sports Stadium,Macarthur,Sydney,
121,21,02/03/2025 06:00,CommBank Stadium,Western Sydney Wanderers,Perth Glory,
122,22,07/03/2025 08:35,AAMI Park,Melbourne City,Macarthur,
123,22,08/03/2025 06:00,Coopers Stadium,Adelaide United,Brisbane Roar,
124,22,08/03/2025 07:00,Ironbark Fields,Western United,Wellington Phoenix,
125,22,08/03/2025 08:35,AAMI Park,Melbourne Victory,Central Coast Mariners,
126,22,09/03/2025 06:00,McDonald Jones Stadium,Newcastle Jets,Auckland,
128,23,14/03/2025 08:35,Coopers Stadium,Adelaide United,Macarthur,
129,23,15/03/2025 06:00,Allianz Stadium,Sydney,Wellington Phoenix,
130,23,15/03/2025 08:35,CommBank Stadium,Western Sydney Wanderers,Melbourne Victory,
131,23,15/03/2025 10:45,HBF Park,Perth Glory,Brisbane Roar,
132,23,16/03/2025 04:00,Go Media Stadium,Auckland,Central Coast Mariners,
133,23,16/03/2025 06:00,McDonald Jones Stadium,Newcastle Jets,Western United,
134,24,28/03/2025 08:35,Campbelltown Sports Stadium,Macarthur,Newcastle Jets,
135,24,29/03/2025 04:00,Sky Stadium,Wellington Phoenix,Western Sydney Wanderers,
136,24,29/03/2025 06:00,Allianz Stadium,Sydney,Melbourne City,
137,24,29/03/2025 08:35,AAMI Park,Melbourne Victory,Adelaide United,
138,24,30/03/2025 04:00,Industree Group Stadium,Central Coast Mariners,Perth Glory,
139,24,30/03/2025 06:00,Suncorp Stadium,Brisbane Roar,Auckland,
140,25,04/04/2025 08:35,Suncorp Stadium,Brisbane Roar,Macarthur,
141,25,05/04/2025 04:00,Go Media Stadium,Auckland,Western Sydney Wanderers,
142,25,05/04/2025 06:00,AAMI Park,Melbourne City,Central Coast Mariners,
143,25,05/04/2025 07:00,Ironbark Fields,Western United,Perth Glory,
144,25,05/04/2025 08:35,Coopers Stadium,Adelaide United,Sydney,
145,25,06/04/2025 07:00,McDonald Jones Stadium,Newcastle Jets,Wellington Phoenix,
146,26,11/04/2025 09:35,AAMI Park,Melbourne City,Brisbane Roar,
147,26,12/04/2025 05:00,Sky Stadium,Wellington Phoenix,Melbourne Victory,
148,26,12/04/2025 07:00,Allianz Stadium,Sydney,Auckland,
149,26,12/04/2025 09:35,McDonald Jones Stadium,Newcastle Jets,Central Coast Mariners,
150,26,12/04/2025 11:45,HBF Park,Perth Glory,Adelaide United,
151,26,13/04/2025 07:00,CommBank Stadium,Western Sydney Wanderers,Western United,
152,27,17/04/2025 09:35,Suncorp Stadium,Brisbane Roar,Western United,
153,27,18/04/2025 09:35,Coopers Stadium,Adelaide United,Wellington Phoenix,
154,27,19/04/2025 07:00,AAMI Park,Melbourne Victory,Auckland,
155,27,19/04/2025 09:35,CommBank Stadium,Western Sydney Wanderers,Melbourne City,
156,27,20/04/2025 05:00,Allianz Stadium,Sydney,Newcastle Jets,
157,27,20/04/2025 07:00,Industree Group Stadium,Central Coast Mariners,Macarthur,
158,28,25/04/2025 09:35,Campbelltown Sports Stadium,Macarthur,Melbourne Victory,
159,28,26/04/2025 05:00,Suncorp Stadium,Brisbane Roar,Wellington Phoenix,
160,28,26/04/2025 07:00,McDonald Jones Stadium,Newcastle Jets,Western Sydney Wanderers,
161,28,26/04/2025 09:35,AAMI Park,Melbourne City,Adelaide United,
162,28,27/04/2025 05:00,Go Media Stadium,Auckland,Perth Glory,
163,28,27/04/2025 07:00,Ironbark Fields,Western United,Sydney,
164,29,02/05/2025 07:30,Sky Stadium,Wellington Phoenix,Perth Glory,
165,29,02/05/2025 09:35,Industree Group Stadium,Central Coast Mariners,Brisbane Roar,
166,29,03/05/2025 07:00,AAMI Park,Melbourne City,Sydney,
167,29,03/05/2025 08:00,Ironbark Fields,Western United,Auckland,
168,29,03/05/2025 09:35,Campbelltown Sports Stadium,Macarthur,Western Sydney Wanderers,
169,29,04/05/2025 07:00,AAMI Park,Melbourne Victory,Newcastle Jets,
